id;nom;insee;adresse;url;type_usagers;gratuit;nb_places;nb_pr;nb_pmr;nb_voitures_electriques;nb_velo;nb_2r_el;nb_autopartage;nb_2_rm;nb_covoit;hauteur_max;num_siret;Xlong;Ylat;tarif_pmr;tarif_1h;tarif_2h;tarif_3h;tarif_4h;tarif_24h;abo_resident;abo_non_resident;type_ouvrage;info
75112-P-007;GENTILLY CENTRE VILLE;75112;face au 13 rue Albert Guilpin. 94250 Gentilly;https://www.saemes.fr/fr/parking/parking-gentilly-centre-ville;abonnés;0;45;0;1;0;0;0;0;4;0;190;3,17033E+13;2.348964;48.816686;;2;4;5.60;7.20;16.80;;48;ouvrage;
75107-P-071;GOURAUD;75107;5 avenue Emile Pouvillon. 75007 Paris;https://www.saemes.fr/fr/parking/parking-gouraud;abonnés;0;339;0;0;0;0;0;0;0;0;190;3,17033E+13;2.29903934;48.8575633;;;;;;;;;ouvrage;
75116-P-008;GROS BOULAINVILLIERS PARIS HABITAT;75116;15 rue de boulainvilliers. 75016 Paris;https://www.saemes.fr/fr/parking/parking-gros-boulainvilliers-paris-habitat;abonnés;0;71;0;1;0;24;0;0;0;0;190;3,17033E+13;2.27691;48.85217;;;;;;;164;222;ouvrage;
75116-P-074;GROS BOULAINVILLIERS VDP;75116;15 ter rue de Boulainvilliers. 75016. Paris;https://www.saemes.fr/fr/parking/parking-gros-boulainvilliers;abonnés;0;340;0;1;3;0;0;0;6;0;190;3,17033E+13;2.27691;48.85217;;;;;;;164;222;ouvrage;
75108-P-031;HAUSSMANN BERRI;75108;163 ter boulevard Haussmann. 75008. Paris;https://www.saemes.fr/fr/parking/parking-haussmann-berri;tous;0;2182;0;20;50;57;0;3;186;0;185;3,17033E+13;2.309631;48.875263;;4.80;9.60;14.40;19.20;43.20;216;270;ouvrage;
75112-P-115;HECTOR MALOT;75112;61 ter avenue Daumesnil. 75012. Paris;https://www.saemes.fr/fr/parking/parking-hector-malot;abonnés;0;484;0;6;0;7;0;0;42;0;200;3,17033E+13;2.377121;48.846882;;;;;;;;198;ouvrage;
94000-P-009;HÔPITAL HENRI MONDOR;94000;1 rue Gustave Eiffel. 94000 Créteil;https://www.saemes.fr/fr/parking/parking-hopital-henri-mondor;tous;0;596;0;12;3;0;0;3;0;0;190;3,17033E+13;2.451794;48.798667;;2.00;4;5.30;6.60;13.20;;88;ouvrage;
75119-P-010;HÔPITAL ROBERT DEBRE;75119;48 boulevard Sérurier. 75019 Paris;https://www.saemes.fr/fr/parking/parking-hopital-robert-debre;tous;0;180;0;4;2;0;0;0;0;0;190;3,17033E+13;2.40177;48.87929;;4.10;8;11.60;14.60;22.20;;;ouvrage;
75114-P-011;HÔPITAL SAINTE ANNE;75114;100 rue de la Santé. 75014 Paris;https://www.saemes.fr/fr/parking/parking-hopital-sainte-anne;tous;0;278;0;6;1;0;0;0;10;0;175;3,17033E+13;2.369972;48.873379;;3.80;7.30;10.40;13.20;22.40;;168;ouvrage;
75110-P-012;HÔPITAL ST LOUIS;75110;1 avenue Claude Vellefaux. 75010 Paris;https://www.saemes.fr/fr/parking/parking-hopital-saint-louis;tous;0;478;0;6;3;30;0;0;34;0;190;3,17033E+13;2.341523;48.827057;;4.10;8;11.60;14.60;22.20;55;183;ouvrage;
75104-P-001;HÔTEL DE VILLE;75004;6 Quai de Gesvres;https://www.saemes.fr/fr/parking/parking-hotel-ville;tous;0;505;0;10;10;17;0;0;69;0;185;3,17033E+13;2.349481;48.8566;;4.60;9.20;13.80;18.40;41.40;232;290;ouvrage;
75116-P-162;JEAN BOUIN;75116;17 rue Nungesser et Coli. 75016. Paris;https://www.saemes.fr/fr/parking/parking-jean-bouin;tous;0;487;0;11;10;52;0;0;53;0;185;3,17033E+13;2.253626;48.845261;;4.30;8.60;12.90;17.20;38.70;135;169;ouvrage;
77144-P-512;JOUFFROY D'ABBANS;75017;10 Rue Jouffroy d'Abbans 75017 Paris;https://www.saemes.fr/fr/parking/parking-jouffroy-dabbans;abonnés;0;209;0;0;0;10;0;0;2;0;190;3,17033E+13;2.31282;48.88801;;;;;;;;;ouvrage;
75105-P-077;LAGRANGE MAUBERT;75105;19 ter rue Lagrange. 75005. Paris;https://www.saemes.fr/fr/parking/parking-lagrange-maubert;tous;0;447;0;8;15;10;0;5;21;0;185;3,17033E+13;2.348671;48.850541;;4.80;9.60;14.40;19.20;43.20;219;283;ouvrage;
75101-P-008;LES HALLES ST EUSTACHE;75101;22 rue des Halles. 75001. Paris;https://www.saemes.fr/fr/parking/parking-les-halles-st-eustache;tous;0;375;0;6;2;41;2;0;27;0;185;3,17033E+13;2.346654;48.860212;;4.80;9.40;14.40;19.20;43.20;232;290;ouvrage;
75108-P-030;MADELEINE TRONCHET;75108;21 M place de la Madeleine. 75008. Paris;https://www.saemes.fr/fr/parking/parking-madeleine-tronchet;tous;0;975;0;20;507;50;30;83;187;0;190;3,17033E+13;2.3246848;48.8701243;;4.90;9.80;14.70;19.60;44.10;248;310;ouvrage;
75114-P-033;MAIRIE DU 14 EME;75114;1 ter rue Charles Divry. 75014. Paris;https://www.saemes.fr/fr/parking/parking-mairie-du-14eme;abonnés;0;164;0;0;2;0;0;0;0;0;190;3,17033E+13;2.3273865;48.8331172;;;;;;;215;269;ouvrage;
75115-P-021;MAIRIE DU 15 EME LECOURBE;75115;147 rue Lecourbe. 75015. Paris;https://www.saemes.fr/fr/parking/parking-mairie-du-15eme-lecourbe;tous;0;314;0;6;5;17;0;0;42;0;190;3,17033E+13;2.299584;48.841671;;4.60;9.20;13.80;18.40;41.40;202;253;ouvrage;
75117-P-072;MAIRIE DU 17 EME;75117;20 rue des Batignolles. 75017. Paris;https://www.saemes.fr/fr/parking/parking-mairie-du-17eme;tous;0;387;0;7;3;67;0;3;37;0;185;3,17033E+13;2.321516;48.884606;;4.60;9.20;13.80;18.40;41.40;;253;ouvrage;
75119-P-102;MAIRIE DU 19EME;75119;5 M rue Andre Dubois. 75019. Paris;https://www.saemes.fr/fr/parking/parking-mairie-du-19eme;abonnés;0;250;0;4;0;0;0;2;13;0;190;3,17033E+13;2.38173;48.88341;;;;;;;;187;ouvrage;
75118-P-078;MARCADET;75118;142 A rue Marcadet. 75018. Paris;https://www.saemes.fr/fr/parking/parking-marcadet;abonnés;0;145;0;0;0;0;0;0;10;0;200;3,17033E+13;2.339104;48.891256;;;;;;;;;ouvrage;
75106-P-086;MARCHE SAINT GERMAIN;75106;2 ter rue Lobineau. 75006. Paris;https://www.saemes.fr/fr/parking/parking-marche-saint-germain;abonnés;0;104;0;0;0;0;0;0;11;0;190;3,17033E+13;2.33611;48.85166;;;;;;;;295;ouvrage;
75105-P-084;MAUBERT COLLEGE DES BERNARDINS;75105;39 ter boulevard Saint Germain. 75005. Paris;https://www.saemes.fr/fr/parking/parking-maubert-college-des-bernardins;tous;0;655;0;12;10;12;0;0;41;0;185;3,17033E+13;2.350867;48.849577;;4.90;9.80;14.70;19.60;44.10;;250;ouvrage;
75109-P-014;MAYRAN;75109;5 rue Mayran. 75009 Paris;https://www.saemes.fr/fr/parking/parking-mayran;abonnés;0;80;0;2;0;5;1;0;24;0;190;3,17033E+13;2.345712;48.877146;;;;;;;;;ouvrage;
75112-P-101;MEDITERRANEE GARE DE LYON;75112;40 rue de Chalon. 75012. Paris;https://www.saemes.fr/fr/parking/parking-mediterranee-gare-de-lyon;tous;0;1600;0;15;54;25;27;154;366;0;190;3,17033E+13;2.375691;48.845002;;5.40;10.80;16.20;21.60;43.20;;327;ouvrage;
